video,dash_start_ms,dash_start_ts,interval_start_ms,interval_start_ts,interval_end_ms,interval_end_ts,start_frame,end_frame,completion_frame,completion_ms,completion_ts
training video 14 00-20.mp4,16550.0,0:16:550,16500.0,0:16:500,16983.3,0:16:983,990,1019,1020,17000.0,0:17:000
training video 15 00-20.mp4,15350.0,0:15:350,15300.0,0:15:300,15783.3,0:15:783,918,947,948,15800.0,0:15:800
training video 15 00-20.mp4,15800.0,0:15:800,15750.0,0:15:750,16233.3,0:16:233,945,974,975,16250.0,0:16:250
training video 15 00-20.mp4,16100.0,0:16:100,16050.0,0:16:050,16533.3,0:16:533,963,992,993,16550.0,0:16:550
training video 16 00-19.mp4,5233.3,0:05:233,5183.3,0:05:183,5666.7,0:05:667,311,340,341,5683.3,0:05:683
training video 16 00-19.mp4,7133.3,0:07:133,7083.3,0:07:083,7566.7,0:07:567,425,454,455,7583.3,0:07:583
training video 16 00-19.mp4,8783.3,0:08:783,8733.3,0:08:733,9216.7,0:09:217,524,553,554,9233.3,0:09:233
training video 16 00-19.mp4,9166.7,0:09:167,9116.7,0:09:117,9600.0,0:09:600,547,576,577,9616.7,0:09:617
training video 16 00-19.mp4,9466.7,0:09:467,9416.7,0:09:417,9900.0,0:09:900,565,594,595,9916.7,0:09:917
training video 16 00-19.mp4,10950.0,0:10:950,10900.0,0:10:900,11383.3,0:11:383,654,683,684,11400.0,0:11:400
training video 16 00-19.mp4,11283.3,0:11:283,11233.3,0:11:233,11716.7,0:11:717,674,703,704,11733.3,0:11:733
training video 16 00-19.mp4,11616.7,0:11:617,11566.7,0:11:567,12050.0,0:12:050,694,723,724,12066.7,0:12:067
training video 16 00-19.mp4,11983.3,0:11:983,11933.3,0:11:933,12416.7,0:12:417,716,745,746,12433.3,0:12:433
training video 17 00-19.mp4,10000.0,0:10:000,9950.0,0:09:950,10433.3,0:10:433,597,626,627,10450.0,0:10:450
training video 17 00-19.mp4,10350.0,0:10:350,10300.0,0:10:300,10783.3,0:10:783,618,647,648,10800.0,0:10:800
training video 17 00-19.mp4,10700.0,0:10:700,10650.0,0:10:650,11133.3,0:11:133,639,668,669,11150.0,0:11:150
training video 18 00-20.mp4,10316.7,0:10:317,10266.7,0:10:267,10750.0,0:10:750,616,645,646,10766.7,0:10:767
training video 18 00-20.mp4,10733.3,0:10:733,10683.3,0:10:683,11166.7,0:11:167,641,670,671,11183.3,0:11:183
training video 18 00-20.mp4,11033.3,0:11:033,10983.3,0:10:983,11466.7,0:11:467,659,688,689,11483.3,0:11:483
training video 18 00-20.mp4,12883.3,0:12:883,12833.3,0:12:833,13316.7,0:13:317,770,799,800,13333.3,0:13:333
training video 18 00-20.mp4,13233.3,0:13:233,13183.3,0:13:183,13666.7,0:13:667,791,820,821,13683.3,0:13:683
training video 19 00-24.mp4,2083.3,0:02:083,2033.3,0:02:033,2516.7,0:02:517,122,151,152,2533.3,0:02:533
training video 19 00-24.mp4,3000.0,0:03:000,2950.0,0:02:950,3433.3,0:03:433,177,206,207,3450.0,0:03:450
training video 19 00-24.mp4,3366.7,0:03:367,3316.7,0:03:317,3800.0,0:03:800,199,228,229,3816.7,0:03:817
training video 19 00-24.mp4,3800.0,0:03:800,3750.0,0:03:750,4233.3,0:04:233,225,254,255,4250.0,0:04:250
training video 19 00-24.mp4,4100.0,0:04:100,4050.0,0:04:050,4533.3,0:04:533,243,272,273,4550.0,0:04:550
training video 19 00-24.mp4,4400.0,0:04:400,4350.0,0:04:350,4833.3,0:04:833,261,290,291,4850.0,0:04:850
training video 19 00-24.mp4,20150.0,0:20:150,20100.0,0:20:100,20583.3,0:20:583,1206,1235,1236,20600.0,0:20:600
training video 19 00-24.mp4,20600.0,0:20:600,20550.0,0:20:550,21033.3,0:21:033,1233,1262,1263,21050.0,0:21:050
training video 19 00-24.mp4,20900.0,0:20:900,20850.0,0:20:850,21333.3,0:21:333,1251,1280,1281,21350.0,0:21:350
training video 19 00-24.mp4,21200.0,0:21:200,21150.0,0:21:150,21633.3,0:21:633,1269,1298,1299,21650.0,0:21:650
training video 20 00-20.mp4,583.3,0:00:583,533.3,0:00:533,1016.7,0:01:017,32,61,62,1033.3,0:01:033
training video 20 00-20.mp4,15116.7,0:15:117,15066.7,0:15:067,15550.0,0:15:550,904,933,934,15566.7,0:15:567
training video 20 00-20.mp4,17983.3,0:17:983,17933.3,0:17:933,18416.7,0:18:417,1076,1105,1106,18433.3,0:18:433
training video 20 00-20.mp4,19183.3,0:19:183,19133.3,0:19:133,19616.7,0:19:617,1148,1177,1178,19633.3,0:19:633
training video 21 00-20.mp4,1266.7,0:01:267,1216.7,0:01:217,1700.0,0:01:700,73,102,103,1716.7,0:01:717
training video 21 00-20.mp4,2316.7,0:02:317,2266.7,0:02:267,2750.0,0:02:750,136,165,166,2766.7,0:02:767
training video 21 00-20.mp4,15616.7,0:15:617,15566.7,0:15:567,16050.0,0:16:050,934,963,964,16066.7,0:16:067
training video 21 00-20.mp4,16133.3,0:16:133,16083.3,0:16:083,16566.7,0:16:567,965,994,995,16583.3,0:16:583
training video 21 00-20.mp4,16433.3,0:16:433,16383.3,0:16:383,16866.7,0:16:867,983,1012,1013,16883.3,0:16:883
training video 22 00-19.mp4,6533.3,0:06:533,6483.3,0:06:483,6966.7,0:06:967,389,418,419,6983.3,0:06:983
training video 22 00-19.mp4,7300.0,0:07:300,7250.0,0:07:250,7733.3,0:07:733,435,464,465,7750.0,0:07:750
training video 22 00-19.mp4,7650.0,0:07:650,7600.0,0:07:600,8083.3,0:08:083,456,485,486,8100.0,0:08:100
training video 22 00-19.mp4,9133.3,0:09:133,9083.3,0:09:083,9566.7,0:09:567,545,574,575,9583.3,0:09:583
training video 23 00-20.mp4,11616.7,0:11:617,11566.7,0:11:567,12050.0,0:12:050,694,723,724,12066.7,0:12:067
training video 23 00-20.mp4,13500.0,0:13:500,13450.0,0:13:450,13933.3,0:13:933,807,836,837,13950.0,0:13:950
training video 23 00-20.mp4,13883.3,0:13:883,13833.3,0:13:833,14316.7,0:14:317,830,859,860,14333.3,0:14:333
training video 23 00-20.mp4,14183.3,0:14:183,14133.3,0:14:133,14616.7,0:14:617,848,877,878,14633.3,0:14:633
training video 23 00-20.mp4,18100.0,0:18:100,18050.0,0:18:050,18533.3,0:18:533,1083,1112,1113,18550.0,0:18:550
training video 24 00-19.mp4,2233.3,0:02:233,2183.3,0:02:183,2666.7,0:02:667,131,160,161,2683.3,0:02:683
training video 24 00-19.mp4,2566.7,0:02:567,2516.7,0:02:517,3000.0,0:03:000,151,180,181,3016.7,0:03:017
training video 24 00-19.mp4,3000.0,0:03:000,2950.0,0:02:950,3433.3,0:03:433,177,206,207,3450.0,0:03:450
training video 24 00-19.mp4,4383.3,0:04:383,4333.3,0:04:333,4816.7,0:04:817,260,289,290,4833.3,0:04:833
training video 24 00-19.mp4,15250.0,0:15:250,15200.0,0:15:200,15683.3,0:15:683,912,941,942,15700.0,0:15:700
training video 25 00-20.mp4,0.0,0:00:000,0.0,0:00:000,433.3,0:00:433,0,26,27,450.0,0:00:450
training video 25 00-20.mp4,11116.7,0:11:117,11066.7,0:11:067,11550.0,0:11:550,664,693,694,11566.7,0:11:567
training video 25 00-20.mp4,11833.3,0:11:833,11783.3,0:11:783,12266.7,0:12:267,707,736,737,12283.3,0:12:283
training video 25 00-20.mp4,12166.7,0:12:167,12116.7,0:12:117,12600.0,0:12:600,727,756,757,12616.7,0:12:617
training video 25 00-20.mp4,12500.0,0:12:500,12450.0,0:12:450,12933.3,0:12:933,747,776,777,12950.0,0:12:950
training video 26 00-19.mp4,7783.3,0:07:783,7733.3,0:07:733,8216.7,0:08:217,464,493,494,8233.3,0:08:233
training video 26 00-19.mp4,8983.3,0:08:983,8933.3,0:08:933,9416.7,0:09:417,536,565,566,9433.3,0:09:433
training video 26 00-19.mp4,13883.3,0:13:883,13833.3,0:13:833,14316.7,0:14:317,830,859,860,14333.3,0:14:333
training video 26 00-19.mp4,14316.7,0:14:317,14266.7,0:14:267,14750.0,0:14:750,856,885,886,14766.7,0:14:767
training video 26 00-19.mp4,14616.7,0:14:617,14566.7,0:14:567,15050.0,0:15:050,874,903,904,15066.7,0:15:067
training video 26 00-19.mp4,14916.7,0:14:917,14866.7,0:14:867,15350.0,0:15:350,892,921,922,15366.7,0:15:367
training video 26 00-19.mp4,16866.7,0:16:867,16816.7,0:16:817,17300.0,0:17:300,1009,1038,1039,17316.7,0:17:317
training video 26 00-19.mp4,17200.0,0:17:200,17150.0,0:17:150,17633.3,0:17:633,1029,1058,1059,17650.0,0:17:650
training video 27 00-19.mp4,12850.0,0:12:850,12800.0,0:12:800,13283.3,0:13:283,768,797,798,13300.0,0:13:300
training video 27 00-19.mp4,13183.3,0:13:183,13133.3,0:13:133,13616.7,0:13:617,788,817,818,13633.3,0:13:633
training video 27 00-19.mp4,13616.7,0:13:617,13566.7,0:13:567,14050.0,0:14:050,814,843,844,14066.7,0:14:067
training video 27 00-19.mp4,13983.3,0:13:983,13933.3,0:13:933,14416.7,0:14:417,836,865,866,14433.3,0:14:433
training video 28 00-19.mp4,2650.0,0:02:650,2600.0,0:02:600,3083.3,0:03:083,156,185,186,3100.0,0:03:100
training video 28 00-19.mp4,14416.7,0:14:417,14366.7,0:14:367,14850.0,0:14:850,862,891,892,14866.7,0:14:867
training video 28 00-19.mp4,14750.0,0:14:750,14700.0,0:14:700,15183.3,0:15:183,882,911,912,15200.0,0:15:200
training video 28 00-19.mp4,15100.0,0:15:100,15050.0,0:15:050,15533.3,0:15:533,903,932,933,15550.0,0:15:550
training video 29 00-20.mp4,14766.7,0:14:767,14716.7,0:14:717,15200.0,0:15:200,883,912,913,15216.7,0:15:217
training video 29 00-20.mp4,15850.0,0:15:850,15800.0,0:15:800,16283.3,0:16:283,948,977,978,16300.0,0:16:300
training video 29 00-20.mp4,18350.0,0:18:350,18300.0,0:18:300,18783.3,0:18:783,1098,1127,1128,18800.0,0:18:800
training video 30 00-19.mp4,13083.3,0:13:083,13033.3,0:13:033,13516.7,0:13:517,782,811,812,13533.3,0:13:533
training video 30 00-19.mp4,13566.7,0:13:567,13516.7,0:13:517,14000.0,0:14:000,811,840,841,14016.7,0:14:017
training video 30 00-19.mp4,13866.7,0:13:867,13816.7,0:13:817,14300.0,0:14:300,829,858,859,14316.7,0:14:317
training video 31 00-19.mp4,11250.0,0:11:250,11200.0,0:11:200,11683.3,0:11:683,672,701,702,11700.0,0:11:700
training video 32 00-19.mp4,12383.3,0:12:383,12333.3,0:12:333,12816.7,0:12:817,740,769,770,12833.3,0:12:833
training video 32 00-19.mp4,14133.3,0:14:133,14083.3,0:14:083,14566.7,0:14:567,845,874,875,14583.3,0:14:583
training video 32 00-19.mp4,14766.7,0:14:767,14716.7,0:14:717,15200.0,0:15:200,883,912,913,15216.7,0:15:217
training video 33 00-19.mp4,12050.0,0:12:050,12000.0,0:12:000,12483.3,0:12:483,720,749,750,12500.0,0:12:500
training video 33 00-19.mp4,12883.3,0:12:883,12833.3,0:12:833,13316.7,0:13:317,770,799,800,13333.3,0:13:333
training video 33 00-19.mp4,13250.0,0:13:250,13200.0,0:13:200,13683.3,0:13:683,792,821,822,13700.0,0:13:700
training video 33 00-19.mp4,13683.3,0:13:683,13633.3,0:13:633,14116.7,0:14:117,818,847,848,14133.3,0:14:133
training video 33 00-19.mp4,14133.3,0:14:133,14083.3,0:14:083,14566.7,0:14:567,845,874,875,14583.3,0:14:583
training video 33 00-19.mp4,16166.7,0:16:167,16116.7,0:16:117,16600.0,0:16:600,967,996,997,16616.7,0:16:617
training video 33 00-19.mp4,16500.0,0:16:500,16450.0,0:16:450,16933.3,0:16:933,987,1016,1017,16950.0,0:16:950
training video 34 00-20.mp4,14266.7,0:14:267,14216.7,0:14:217,14700.0,0:14:700,853,882,883,14716.7,0:14:717
training video 34 00-20.mp4,15366.7,0:15:367,15316.7,0:15:317,15800.0,0:15:800,919,948,949,15816.7,0:15:817
training video 34 00-20.mp4,17100.0,0:17:100,17050.0,0:17:050,17533.3,0:17:533,1023,1052,1053,17550.0,0:17:550
training video 34 00-20.mp4,17666.7,0:17:667,17616.7,0:17:617,18100.0,0:18:100,1057,1086,1087,18116.7,0:18:117
training video 35 00-19.mp4,366.7,0:00:367,316.7,0:00:317,800.0,0:00:800,19,48,49,816.7,0:00:817
training video 35 00-19.mp4,3033.3,0:03:033,2983.3,0:02:983,3466.7,0:03:467,179,208,209,3483.3,0:03:483
training video 35 00-19.mp4,3800.0,0:03:800,3750.0,0:03:750,4233.3,0:04:233,225,254,255,4250.0,0:04:250
training video 35 00-19.mp4,10950.0,0:10:950,10900.0,0:10:900,11383.3,0:11:383,654,683,684,11400.0,0:11:400
training video 35 00-19.mp4,11800.0,0:11:800,11750.0,0:11:750,12233.3,0:12:233,705,734,735,12250.0,0:12:250
training video 35 00-19.mp4,12166.7,0:12:167,12116.7,0:12:117,12600.0,0:12:600,727,756,757,12616.7,0:12:617
training video 35 00-19.mp4,12466.7,0:12:467,12416.7,0:12:417,12900.0,0:12:900,745,774,775,12916.7,0:12:917
training video 36 00-19.mp4,7866.7,0:07:867,7816.7,0:07:817,8300.0,0:08:300,469,498,499,8316.7,0:08:317
training video 36 00-19.mp4,8366.7,0:08:367,8316.7,0:08:317,8800.0,0:08:800,499,528,529,8816.7,0:08:817
training video 36 00-19.mp4,9150.0,0:09:150,9100.0,0:09:100,9583.3,0:09:583,546,575,576,9600.0,0:09:600
training video 36 00-19.mp4,9950.0,0:09:950,9900.0,0:09:900,10383.3,0:10:383,594,623,624,10400.0,0:10:400
training video 36 00-19.mp4,10300.0,0:10:300,10250.0,0:10:250,10733.3,0:10:733,615,644,645,10750.0,0:10:750
training video 36 00-19.mp4,11616.7,0:11:617,11566.7,0:11:567,12050.0,0:12:050,694,723,724,12066.7,0:12:067
training video 36 00-19.mp4,13400.0,0:13:400,13350.0,0:13:350,13833.3,0:13:833,801,830,831,13850.0,0:13:850
training video 36 00-19.mp4,13933.3,0:13:933,13883.3,0:13:883,14366.7,0:14:367,833,862,863,14383.3,0:14:383
training video 36 00-19.mp4,14866.7,0:14:867,14816.7,0:14:817,15300.0,0:15:300,889,918,919,15316.7,0:15:317
training video 36 00-19.mp4,16416.7,0:16:417,16366.7,0:16:367,16850.0,0:16:850,982,1011,1012,16866.7,0:16:867
training video 36 00-19.mp4,17033.3,0:17:033,16983.3,0:16:983,17466.7,0:17:467,1019,1048,1049,17483.3,0:17:483
training video 37 00-19.mp4,10650.0,0:10:650,10600.0,0:10:600,11083.3,0:11:083,636,665,666,11100.0,0:11:100
training video 37 00-19.mp4,11483.3,0:11:483,11433.3,0:11:433,11916.7,0:11:917,686,715,716,11933.3,0:11:933
training video 37 00-19.mp4,11833.3,0:11:833,11783.3,0:11:783,12266.7,0:12:267,707,736,737,12283.3,0:12:283
training video 37 00-19.mp4,12266.7,0:12:267,12216.7,0:12:217,12700.0,0:12:700,733,762,763,12716.7,0:12:717
training video 37 00-19.mp4,14083.3,0:14:083,14033.3,0:14:033,14516.7,0:14:517,842,871,872,14533.3,0:14:533
training video 37 00-19.mp4,14600.0,0:14:600,14550.0,0:14:550,15033.3,0:15:033,873,902,903,15050.0,0:15:050
training video 37 00-19.mp4,16783.3,0:16:783,16733.3,0:16:733,17216.7,0:17:217,1004,1033,1034,17233.3,0:17:233
training video 37 00-19.mp4,17166.7,0:17:167,17116.7,0:17:117,17600.0,0:17:600,1027,1056,1057,17616.7,0:17:617
training video 38 00-19.mp4,15950.0,0:15:950,15900.0,0:15:900,16383.3,0:16:383,954,983,984,16400.0,0:16:400
training video 38 00-19.mp4,17200.0,0:17:200,17150.0,0:17:150,17633.3,0:17:633,1029,1058,1059,17650.0,0:17:650
training video 39 00-19.mp4,9916.7,0:09:917,9866.7,0:09:867,10350.0,0:10:350,592,621,622,10366.7,0:10:367
training video 39 00-19.mp4,12000.0,0:12:000,11950.0,0:11:950,12433.3,0:12:433,717,746,747,12450.0,0:12:450
training video 39 00-19.mp4,14350.0,0:14:350,14300.0,0:14:300,14783.3,0:14:783,858,887,888,14800.0,0:14:800
training video 39 00-19.mp4,14700.0,0:14:700,14650.0,0:14:650,15133.3,0:15:133,879,908,909,15150.0,0:15:150
training video 39 00-19.mp4,15050.0,0:15:050,15000.0,0:15:000,15483.3,0:15:483,900,929,930,15500.0,0:15:500
training video 39 00-19.mp4,16600.0,0:16:600,16550.0,0:16:550,17033.3,0:17:033,993,1022,1023,17050.0,0:17:050
training video 40 00-20.mp4,6016.7,0:06:017,5966.7,0:05:967,6450.0,0:06:450,358,387,388,6466.7,0:06:467
training video 40 00-20.mp4,6800.0,0:06:800,6750.0,0:06:750,7233.3,0:07:233,405,434,435,7250.0,0:07:250
training video 40 00-20.mp4,7783.3,0:07:783,7733.3,0:07:733,8216.7,0:08:217,464,493,494,8233.3,0:08:233
training video 40 00-20.mp4,8216.7,0:08:217,8166.7,0:08:167,8650.0,0:08:650,490,519,520,8666.7,0:08:667
training video 40 00-20.mp4,9600.0,0:09:600,9550.0,0:09:550,10033.3,0:10:033,573,602,603,10050.0,0:10:050
training video 40 00-20.mp4,10350.0,0:10:350,10300.0,0:10:300,10783.3,0:10:783,618,647,648,10800.0,0:10:800
training video 40 00-20.mp4,11233.3,0:11:233,11183.3,0:11:183,11666.7,0:11:667,671,700,701,11683.3,0:11:683
training video 40 00-20.mp4,12816.7,0:12:817,12766.7,0:12:767,13250.0,0:13:250,766,795,796,13266.7,0:13:267
training video 40 00-20.mp4,15333.3,0:15:333,15283.3,0:15:283,15766.7,0:15:767,917,946,947,15783.3,0:15:783
training video 41 00-20.mkv,2233.3,0:02:233,2183.3,0:02:183,2666.7,0:02:667,131,160,161,2683.3,0:02:683
training video 41 00-20.mkv,15850.0,0:15:850,15800.0,0:15:800,16283.3,0:16:283,948,977,978,16300.0,0:16:300
training video 41 00-20.mkv,16283.3,0:16:283,16233.3,0:16:233,16716.7,0:16:717,974,1003,1004,16733.3,0:16:733
training video 43 00-18.mp4,6866.7,0:06:867,6816.7,0:06:817,7300.0,0:07:300,409,438,439,7316.7,0:07:317
training video 43 00-18.mp4,12233.3,0:12:233,12183.3,0:12:183,12666.7,0:12:667,731,760,761,12683.3,0:12:683
training video 43 00-18.mp4,13383.3,0:13:383,13333.3,0:13:333,13816.7,0:13:817,800,829,830,13833.3,0:13:833
training video 43 00-18.mp4,14266.7,0:14:267,14216.7,0:14:217,14700.0,0:14:700,853,882,883,14716.7,0:14:717
training video 43 00-18.mp4,14616.7,0:14:617,14566.7,0:14:567,15050.0,0:15:050,874,903,904,15066.7,0:15:067
training video 43 00-18.mp4,15000.0,0:15:000,14950.0,0:14:950,15433.3,0:15:433,897,926,927,15450.0,0:15:450
training video 44 00-20.mp4,2233.3,0:02:233,2183.3,0:02:183,2666.7,0:02:667,131,160,161,2683.3,0:02:683
training video 44 00-20.mp4,15850.0,0:15:850,15800.0,0:15:800,16283.3,0:16:283,948,977,978,16300.0,0:16:300
training video 44 00-20.mp4,16283.3,0:16:283,16233.3,0:16:233,16716.7,0:16:717,974,1003,1004,16733.3,0:16:733
training video 45 00-20.mp4,3666.7,0:03:667,3616.7,0:03:617,4100.0,0:04:100,217,246,247,4116.7,0:04:117
